scenario,magnitude,psi,kl,js,wasserstein,psi_status
mean_shift,0.0,0.0037,0.002,0.0007,0.0287,stable
mean_shift,0.1,0.0156,0.008,0.0029,0.1113,stable
mean_shift,0.2,0.0756,0.0382,0.0135,0.2695,stable
mean_shift,0.3,0.1192,0.0566,0.0202,0.3413,moderate_shift
mean_shift,0.4,0.1755,0.0859,0.03,0.4273,moderate_shift
mean_shift,0.5,0.2705,0.1401,0.0481,0.5244,significant_shift
mean_shift,0.6,0.3508,0.1752,0.0596,0.6016,significant_shift
mean_shift,0.7,0.4831,0.2398,0.0816,0.712,significant_shift
mean_shift,0.8,0.6078,0.2972,0.1005,0.7871,significant_shift
mean_shift,0.9,0.8004,0.4057,0.1313,0.9095,significant_shift
mean_shift,1.0,0.9955,0.4982,0.1587,1.0211,significant_shift
mean_shift,1.1,1.1764,0.6042,0.1858,1.1198,significant_shift
mean_shift,1.2,1.497,0.7341,0.2209,1.2315,significant_shift
mean_shift,1.3,1.697,0.851,0.2414,1.3031,significant_shift
mean_shift,1.4,1.8762,0.9584,0.2756,1.4068,significant_shift
mean_shift,1.5,2.2355,1.2048,0.3062,1.5218,significant_shift
mean_shift,1.6,2.5003,1.3506,0.3365,1.6149,significant_shift
mean_shift,1.7,2.8025,1.3317,0.3654,1.6939,significant_shift
mean_shift,1.8,3.0488,1.5975,0.3965,1.797,significant_shift
mean_shift,1.9,3.8269,1.8225,0.4372,1.9026,significant_shift
mean_shift,2.0,4.1429,1.9686,0.4699,2.0259,significant_shift
variance_shift,1.0,0.0038,0.0019,0.0007,0.0346,stable
variance_shift,1.25,0.1061,0.0651,0.0174,0.2199,moderate_shift
variance_shift,1.5,0.3149,0.2127,0.0503,0.4096,significant_shift
variance_shift,1.75,0.5467,0.4466,0.0771,0.5822,significant_shift
variance_shift,2.0,0.8771,0.7425,0.1213,0.8007,significant_shift
variance_shift,2.25,1.2523,1.0826,0.1423,1.0549,significant_shift
variance_shift,2.5,1.5295,1.255,0.1737,1.2234,significant_shift
variance_shift,2.75,1.7686,1.86,0.1971,1.4058,significant_shift
variance_shift,3.0,2.0087,1.979,0.2174,1.5894,significant_shift
